Year,MT Barrels,Country
1980,0.4,Italy
1981,0.4,Italy
1982,0.4,Italy
1983,0.4,Italy
1984,0.6,Italy
1985,0.6,Italy
1986,0.6,Italy
1987,0.7,Italy
1988,0.8,Italy
1989,0.8,Italy
1990,0.8,Italy
1991,0.8,Italy
1992,0.6,Italy
1993,0.6,Italy
1994,0.8,Italy
1995,0.8,Italy
1996,0.8,Italy
1997,0.8,Italy
1998,0.8,Italy
1999,0.9,Italy
2000,0.9,Italy
2001,0.8,Italy
2002,0.8,Italy
2003,0.8,Italy
2004,0.8,Italy
2005,0.8,Italy
2006,0.8,Italy
2007,0.9,Italy
2008,1,Italy
2009,1,Italy
2010,1.4,Italy
2011,1.4,Italy
2012,1.4,Italy
1980,0.4,Denmark
1981,0.4,Denmark
1982,0.3,Denmark
1983,0.3,Denmark
1984,0.5,Denmark
1985,0.4,Denmark
1986,0.4,Denmark
1987,0.4,Denmark
1988,0.5,Denmark
1989,0.6,Denmark
1990,0.6,Denmark
1991,0.6,Denmark
1992,0.7,Denmark
1993,0.7,Denmark
1994,0.8,Denmark
1995,0.9,Denmark
1996,0.9,Denmark
1997,0.9,Denmark
1998,0.9,Denmark
1999,0.9,Denmark
2000,1.1,Denmark
2001,1.3,Denmark
2002,1.3,Denmark
2003,1.3,Denmark
2004,1.3,Denmark
2005,1.3,Denmark
2006,1.2,Denmark
2007,1.1,Denmark
2008,0.8,Denmark
2009,0.9,Denmark
2010,0.9,Denmark
2011,0.8,Denmark
2012,0.7,Denmark
1980,4,Norway
1981,4,Norway
1982,3.8,Norway
1983,4.9,Norway
1984,5,Norway
1985,5.9,Norway
1986,6.5,Norway
1987,6.6,Norway
1988,8.2,Norway
1989,8.4,Norway
1990,8.6,Norway
1991,8.8,Norway
1992,9.7,Norway
1993,9.6,Norway
1994,9.7,Norway
1995,10.8,Norway
1996,11.7,Norway
1997,12,Norway
1998,11.7,Norway
1999,10.9,Norway
2000,11.4,Norway
2001,11.6,Norway
2002,10.4,Norway
2003,10.1,Norway
2004,9.7,Norway
2005,9.7,Norway
2006,8.5,Norway
2007,8.2,Norway
2008,7.5,Norway
2009,7.1,Norway
2010,6.8,Norway
2011,6.9,Norway
2012,7.5,Norway
1980,8.4,United Kingdom
1981,7.9,United Kingdom
1982,7.5,United Kingdom
1983,6.9,United Kingdom
1984,6,United Kingdom
1985,5.6,United Kingdom
1986,5.3,United Kingdom
1987,5.2,United Kingdom
1988,4.3,United Kingdom
1989,3.8,United Kingdom
1990,4,United Kingdom
1991,4.2,United Kingdom
1992,4.6,United Kingdom
1993,4.5,United Kingdom
1994,4.3,United Kingdom
1995,4.5,United Kingdom
1996,5,United Kingdom
1997,5.2,United Kingdom
1998,5.1,United Kingdom
1999,5,United Kingdom
2000,4.7,United Kingdom
2001,4.5,United Kingdom
2002,4.5,United Kingdom
2003,4.3,United Kingdom
2004,4,United Kingdom
2005,3.9,United Kingdom
2006,3.6,United Kingdom
2007,3.4,United Kingdom
2008,3.1,United Kingdom
2009,2.8,United Kingdom
2010,2.8,United Kingdom
2011,3.1,United Kingdom
2012,3.1,United Kingdom
