n,electric,red-grey saturation,tactual roughness,grey saule luminance contrast,length,area,loudness,brightness
0,0,0,0,0,0,0,0,0
0.5,0.088388348,0.307786103,0.353553391,0.435275282,0.5,0.615572207,0.628506687,0.707106781
1,1,1,1,1,1,1,1,1
1.5,4.133513941,1.99230186,1.837117307,1.626707657,1.5,1.32820124,1.312142926,1.224744871
2,11.3137085,3.249009585,2.828427125,2.29739671,2,1.624504793,1.591072968,1.414213562
2.5,24.70529422,4.747861206,3.952847075,3.002811085,2.5,1.899144482,1.847650423,1.58113883
3,46.7653718,6.47300784,5.196152423,3.737192819,3,2.15766928,2.08771514,1.732050808
3.5,80.21178023,8.412317884,6.547900427,4.49657305,3.5,2.403519395,2.31486458,1.870828693
4,128,10.55606329,8,5.278031643,4,2.639015822,2.531513188,2
4.5,193.3053163,12.89618556,9.545941546,6.079320173,4.5,2.865819013,2.739380653,2.121320344
5,279.5084972,15.42584657,11.18033989,6.898648307,5,3.085169314,2.939746642,2.236067977
